Stock name,Symbol,Link,Scrap_Link
20 Microns Limited,20MICRONS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:20MICRONS""",https://in.tradingview.com/symbols/NSE-20MICRONS/news/
Twenty First Century Management Services Ltd,21STCENMGM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:21STCENMGM""",https://in.tradingview.com/symbols/NSE-21STCENMGM/news/
360 ONE WAM Ltd,360ONE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:360ONE""",https://in.tradingview.com/symbols/NSE-360ONE/news/
3i Infotech Ltd,3IINFOLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:3IINFOLTD""",https://in.tradingview.com/symbols/NSE-3IINFOLTD/news/
3m India Limited,3MINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:3MINDIA""",https://in.tradingview.com/symbols/NSE-3MINDIA/news/
3P Land Holdings Ltd,3PLAND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:3PLAND""",https://in.tradingview.com/symbols/NSE-3PLAND/news/
5Paisa Capital Ltd,5PAISA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:5PAISA""",https://in.tradingview.com/symbols/NSE-5PAISA/news/
63 Moons Technologies,63MOONS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:63MOONS""",https://in.tradingview.com/symbols/NSE-63MOONS/news/
A2z Infra Engineering Limited,A2ZINFRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:A2ZINFRA""",https://in.tradingview.com/symbols/NSE-A2ZINFRA/news/
AAA Technologies Ltd,AAATECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AAATECH""",https://in.tradingview.com/symbols/NSE-AAATECH/news/
Aadhar Housing Finance Ltd,AADHARHFC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AADHARHFC""",https://in.tradingview.com/symbols/NSE-AADHARHFC/news/
Aakash Exploration Services Ltd,AAKASH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AAKASH""",https://in.tradingview.com/symbols/NSE-AAKASH/news/
Aarey Drugs & Pharmaceuticals Ltd,AAREYDRUGS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AAREYDRUGS""",https://in.tradingview.com/symbols/NSE-AAREYDRUGS/news/
Aaron Industries Ltd,AARON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARON""",https://in.tradingview.com/symbols/NSE-AARON/news/
Aartech Solonics Ltd,AARTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARTECH""",https://in.tradingview.com/symbols/NSE-AARTECH/news/
Aarti Drugs Limited,AARTIDRUGS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARTIDRUGS""",https://in.tradingview.com/symbols/NSE-AARTIDRUGS/news/
Aarti Industries Limited,AARTIIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARTIIND""",https://in.tradingview.com/symbols/NSE-AARTIIND/news/
Aarti Pharmalabs Ltd,AARTIPHARM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARTIPHARM""",https://in.tradingview.com/symbols/NSE-AARTIPHARM/news/
Aarti Surfactants Ltd,AARTISURF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARTISURF""",https://in.tradingview.com/symbols/NSE-AARTISURF/news/
Aarvee Denims & Exports Limited,AARVEEDEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARVEEDEN""",https://in.tradingview.com/symbols/NSE-AARVEEDEN/news/
Aarvi Encon Ltd,AARVI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AARVI""",https://in.tradingview.com/symbols/NSE-AARVI/news/
AAVAS Financiers Ltd,AAVAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AAVAS""",https://in.tradingview.com/symbols/NSE-AAVAS/news/
